week_number,day_of_week_name,pickup_neighborhood,demand,est_real_demand,drivers_needed,drivers_needed_pred
1,Wednesday,Murray Hill-Kips Bay,17.5,30733.675,2820,2277.775696060264
1,Wednesday,North Side-South Side,3.0,5268.63,483,368.80229889794174
1,Wednesday,Parkchester,1.0,1756.21,161,186.9144265433424
1,Wednesday,Prospect Heights,1.0,1756.21,161,184.15685772349045
1,Wednesday,SoHo-TriBeCa-Civic Center-Little Italy,12.5,21952.625,2014,2362.0423449502146
1,Wednesday,Steinway,1.0,1756.21,161,207.55324278295456
1,Wednesday,Stuyvesant Heights,1.0,1756.21,161,177.73658740812732
1,Wednesday,Stuyvesant Town-Cooper Village,1.0,1756.21,161,295.52190762608586
1,Wednesday,Turtle Bay-East Midtown,20.5,36002.305,3303,2724.2761939155675
1,Wednesday,University Heights-Morris Heights,1.0,1756.21,161,188.66259143595343
1,Wednesday,Upper East Side-Carnegie Hill,15.75,27660.3075,2538,2546.2020319167377
1,Wednesday,Upper West Side,15.5,27221.255,2497,2239.803646381765
1,Wednesday,Washington Heights South,1.0,1756.21,161,211.17971501450805
1,Wednesday,West Village,13.0,22830.73,2095,2410.9998614474566
1,Wednesday,Yorkville,13.0,22830.73,2095,1845.497660106355
1,Wednesday,park-cemetery-etc-Manhattan,8.0,14049.68,1289,1105.839331703198
10,Friday,Airport,9.833333333333334,17269.398333333334,1584,1825.6648019348916
10,Friday,Baisley Park,1.0,1756.21,161,170.23768696531997
10,Friday,Battery Park City-Lower Manhattan,8.0,14049.68,1289,1620.7025794291264
10,Friday,Brooklyn Heights-Cobble Hill,4.0,7024.84,644,289.977371751246
10,Friday,Bushwick North,1.0,1756.21,161,206.3566395705656
10,Friday,Carroll Gardens-Columbia Street-Red Hook,1.0,1756.21,161,262.3623377552827
10,Friday,Chinatown,10.0,17562.1,1611,1325.2942116121064
10,Friday,Clinton,15.5,27221.255,2497,2359.0570391659107
10,Friday,Co-op City,1.0,1756.21,161,183.516442936532
10,Friday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1.0,1756.21,161,351.441618341105
10,Friday,East Harlem North,2.0,3512.42,322,360.399255051833
10,Friday,East Harlem South,2.0,3512.42,322,562.7957617115522
10,Friday,East Village,14.0,24586.940000000002,2256,2008.1061489966544
10,Friday,Forest Hills,1.0,1756.21,161,179.96518050676147
10,Friday,Fort Greene,1.0,1756.21,161,247.2082479717246
10,Friday,Gramercy,13.0,22830.73,2095,1864.8792281027688
10,Friday,Hamilton Heights,1.0,1756.21,161,223.11743773819737
10,Friday,Hudson Yards-Chelsea-Flatiron-Union Square,20.083333333333332,35270.550833333335,3236,3348.745884746946
10,Friday,Hunters Point-Sunnyside-West Maspeth,3.0,5268.63,483,376.8541202313673
10,Friday,Lenox Hill-Roosevelt Island,15.25,26782.2025,2457,2236.661916063329
10,Friday,Lincoln Square,16.0,28099.36,2578,2163.1399499197355
10,Friday,Lower East Side,3.0,5268.63,483,498.5360890212323
10,Friday,Manhattanville,1.0,1756.21,161,202.15521479176675
10,Friday,Midtown-Midtown South,24.5,43027.145000000004,3947,4178.469258013885
10,Friday,Morningside Heights,5.0,8781.05,806,907.5363152889914
10,Friday,Murray Hill-Kips Bay,12.5,21952.625,2014,2483.5948286115777
10,Friday,North Side-South Side,3.0,5268.63,483,440.29244851685
10,Friday,SoHo-TriBeCa-Civic Center-Little Italy,12.333333333333334,21659.923333333336,1987,2518.513500031802
10,Friday,South Ozone Park,1.0,1756.21,161,181.5906336147584
10,Friday,Stuyvesant Town-Cooper Village,3.0,5268.63,483,403.5937318946172
10,Friday,Sunset Park West,1.0,1756.21,161,172.60445958828348
10,Friday,Turtle Bay-East Midtown,12.7,22303.867,2046,2724.581058489622
10,Friday,Upper East Side-Carnegie Hill,15.75,27660.3075,2538,2641.7844776961424
10,Friday,Upper West Side,11.0,19318.31,1772,2362.704549389569
10,Friday,Washington Heights South,1.0,1756.21,161,195.46755355338087
10,Friday,West Village,19.416666666666668,34099.74416666667,3128,2937.626697167296
10,Friday,Yorkville,11.5,20196.415,1853,1962.341732060815
10,Friday,park-cemetery-etc-Manhattan,8.0,14049.68,1289,1015.0261916626836
10,Monday,Airport,14.666666666666666,25757.746666666666,2363,1956.700359741281
10,Monday,Astoria,1.0,1756.21,161,235.6516336411428
10,Monday,Battery Park City-Lower Manhattan,7.5,13171.575,1208,1417.7746337376595
10,Monday,Bedford,1.0,1756.21,161,154.63337824786603
10,Monday,Carroll Gardens-Columbia Street-Red Hook,1.0,1756.21,161,225.13025509877275
10,Monday,Central Harlem South,1.0,1756.21,161,294.4510644768682
10,Monday,Chinatown,2.0,3512.42,322,881.531552313826
10,Monday,Clinton,11.5,20196.415,1853,2069.819128584736
10,Monday,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3.0,5268.63,483,272.91236109513795
10,Monday,East Harlem South,7.0,12293.470000000001,1128,502.1980894188612
10,Monday,East Village,6.0,10537.26,967,1599.4707173077989
10,Monday,Gramercy,12.0,21074.52,1933,1590.344919168303
10,Monday,Greenpoint,1.0,1756.21,161,160.2984101421081
10,Monday,Hamilton Heights,1.0,1756.21,161,175.46167821555787
10,Monday,Hudson Yards-Chelsea-Flatiron-Union Square,19.0,33367.99,3061,2897.535228709982
10,Monday,Lenox Hill-Roosevelt Island,10.0,17562.1,1611,1973.05462351833
10,Monday,Lincoln Square,12.0,21074.52,1933,1917.1573283522152
10,Monday,Lower East Side,2.0,3512.42,322,402.39556667592296
10,Monday,Midtown-Midtown South,25.266666666666666,44373.57266666667,4071,4069.338989544955
10,Monday,Morningside Heights,6.0,10537.26,967,762.3279016133935
10,Monday,Mott Haven-Port Morris,1.0,1756.21,161,168.5013870642118
10,Monday,Murray Hill-Kips Bay,12.5,21952.625,2014,2100.090549431661
